Order_ID,Order_Date,Ship_Date,Region,State,City,Product_Category,Sub_Category,Product_Name,Sales,Quantity,Discount,Profit,Customer_Segment,Shipping_Days,Year,Month,Quarter,Week,DayOfWeek,Year_Month,Profit_Margin_Pct,Unit_Price,Profit_Per_Unit,Margin_Category,Customer_Size_Segment,Order_Value_Category,Discount_Impact
ORD001000,2023-02-15,2023-02-22,East,CT,Hartford,Office Supplies,Paper,Paper Model-2022,7123.24,7,0.0,2099.49,Corporate,7,2023,2,1,7,Wednesday,2023-02,29.47,1017.61,299.93,Good (20-30%),Enterprise,High Value,0.0
ORD001001,2024-11-07,2024-11-12,West,WA,Seattle,Technology,Monitor,Monitor Model-2023,2419.67,4,0.0,592.68,Corporate,5,2024,11,4,45,Thursday,2024-11,24.49,604.92,148.17,Good (20-30%),Enterprise,Mid Range,0.0
ORD001002,2024-03-12,2024-03-15,West,CO,Denver,Technology,Laptop,Laptop Model-2021,144.77,1,0.1,47.32,Corporate,3,2024,3,1,11,Tuesday,2024-03,32.69,144.77,47.32,Excellent (30%+),SMB,Low Value,14.477000000000002
ORD001003,2023-10-18,2023-10-25,South,TX,Austin,Furniture,Table,Table Model-2024,697.5,1,0.0,172.14,Consumer,7,2023,10,4,42,Wednesday,2023-10,24.68,697.5,172.14,Good (20-30%),Mid-Market,Low Value,0.0
ORD001004,2022-06-20,2022-06-27,North,PA,Pittsburgh,Office Supplies,Paper,Paper Model-2023,490.25,1,0.05,107.5,Consumer,7,2022,6,2,25,Monday,2022-06,21.93,490.25,107.5,Good (20-30%),SMB,Low Value,24.512500000000003
ORD001005,2022-06-20,2022-06-27,West,OR,Portland,Furniture,Cabinet,Cabinet Model-2020,5387.35,3,0.0,1078.31,Consumer,7,2022,6,2,25,Monday,2022-06,20.02,1795.78,359.44,Good (20-30%),Enterprise,High Value,0.0
ORD001006,2022-03-05,2022-03-11,South,NC,Charlotte,Office Supplies,Clipboard,Clipboard Model-2021,3427.21,5,0.1,680.84,Consumer,6,2022,3,1,9,Saturday,2022-03,19.87,685.44,136.17,Medium (10-20%),Enterprise,High Value,342.721
ORD001007,2024-08-06,2024-08-12,East,MD,Baltimore,Office Supplies,Binder,Binder Model-2023,621.6,2,0.0,132.59,Corporate,6,2024,8,3,32,Tuesday,2024-08,21.33,310.8,66.3,Good (20-30%),Mid-Market,Low Value,0.0
ORD001008,2023-10-21,2023-10-28,East,DE,Milford,Technology,Laptop,Laptop Model-2022,172.74,1,0.0,60.18,Corporate,7,2023,10,4,42,Saturday,2023-10,34.84,172.74,60.18,Excellent (30%+),SMB,Low Value,0.0
ORD001009,2024-02-15,2024-02-22,East,DE,Wilmington,Technology,Monitor,Monitor Model-2022,3004.13,7,0.0,667.41,Consumer,7,2024,2,1,7,Thursday,2024-02,22.22,429.16,95.34,Good (20-30%),Enterprise,High Value,0.0
ORD001010,2022-01-23,2022-01-26,East,NJ,Paterson,Office Supplies,Pen,Pen Model-2021,1337.42,2,0.0,340.94,Consumer,3,2022,1,1,3,Sunday,2022-01,25.49,668.71,170.47,Good (20-30%),Mid-Market,Mid Range,0.0
ORD001011,2024-11-28,2024-12-01,South,NC,Greensboro,Technology,Laptop,Laptop Model-2024,197.57,1,0.0,40.49,Consumer,3,2024,11,4,48,Thursday,2024-11,20.49,197.57,40.49,Good (20-30%),SMB,Low Value,0.0
