Order_ID,Order_Date,Ship_Date,Region,State,City,Product_Category,Sub_Category,Product_Name,Sales,Quantity,Discount,Profit,Customer_Segment
ORD001000,2023-02-15,2023-02-22,East,CT,Hartford,Office Supplies,Paper,Paper Model-2022,7123.24,7,0.0,2099.49,Corporate
ORD001001,2024-11-07,2024-11-12,West,WA,Seattle,Technology,Monitor,Monitor Model-2023,2419.67,4,0.0,592.68,Corporate
ORD001002,2024-03-12,2024-03-15,West,CO,Denver,Technology,Laptop,Laptop Model-2021,144.77,1,0.1,47.32,Corporate
ORD001003,2023-10-18,2023-10-25,South,TX,Austin,Furniture,Table,Table Model-2024,697.5,1,0.0,172.14,Consumer
ORD001004,2022-06-20,2022-06-27,North,PA,Pittsburgh,Office Supplies,Paper,Paper Model-2023,490.25,1,0.05,107.5,Consumer
ORD001005,2022-06-20,2022-06-27,West,OR,Portland,Furniture,Cabinet,Cabinet Model-2020,5387.35,3,0.0,1078.31,Consumer
ORD001006,2022-03-05,2022-03-11,South,NC,Charlotte,Office Supplies,Clipboard,Clipboard Model-2021,3427.21,5,0.1,680.84,Consumer
ORD001007,2024-08-06,2024-08-12,East,MD,Baltimore,Office Supplies,Binder,Binder Model-2023,621.6,2,0.0,132.59,Corporate
ORD001008,2023-10-21,2023-10-28,East,DE,Milford,Technology,Laptop,Laptop Model-2022,172.74,1,0.0,60.18,Corporate
ORD001009,2024-02-15,2024-02-22,East,DE,Wilmington,Technology,Monitor,Monitor Model-2022,3004.13,7,0.0,667.41,Consumer
ORD001010,2022-01-23,2022-01-26,East,NJ,Paterson,Office Supplies,Pen,Pen Model-2021,1337.42,2,0.0,340.94,Consumer
ORD001011,2024-11-28,2024-12-01,South,NC,Greensboro,Technology,Laptop,Laptop Model-2024,197.57,1,0.0,40.49,Consumer
ORD001012,2024-06-30,2024-07-05,North,NY,Albany,Furniture,Chair,Chair Model-2022,2496.47,4,0.0,446.14,VIP
ORD001013,2022-08-21,2022-08-26,South,NC,Charlotte,Office Supplies,Notebook,Notebook Model-2023,3114.35,4,0.2,869.42,Corporate
ORD001014,2022-07-19,2022-07-25,North,OH,Cincinnati,Office Supplies,Notebook,Notebook Model-2020,528.46,3,0.05,136.89,One-time Buyer
ORD001015,2022-07-20,2022-07-24,East,NJ,Jersey City,Office Supplies,Notebook,Notebook Model-2024,4982.06,7,0.0,814.89,One-time Buyer
ORD001016,2022-11-30,2022-12-03,West,WA,Seattle,Furniture,Table,Table Model-2021,406.05,3,0.0,132.6,Corporate
ORD001017,2023-07-29,2023-08-03,West,WA,Seattle,Office Supplies,Binder,Binder Model-2022,176.78,2,0.15,44.47,Corporate
ORD001018,2023-04-18,2023-04-21,West,WA,Seattle,Technology,Printer,Printer Model-2024,297.3,3,0.15,64.53,Consumer
ORD001019,2022-11-15,2022-11-18,North,OH,Columbus,Furniture,Chair,Chair Model-2020,2396.65,5,0.2,733.07,Corporate
ORD001020,2023-11-01,2023-11-05,East,NJ,Newark,Office Supplies,Clipboard,Clipboard Model-2024,8129.01,5,0.15,1401.59,Consumer
ORD001021,2022-06-02,2022-06-05,South,FL,Orlando,Furniture,Chair,Chair Model-2024,4189.15,5,0.0,1025.32,One-time Buyer
ORD001022,2022-11-16,2022-11-20,West,OR,Salem,Furniture,Bookshelf,Bookshelf Model-2021,1727.52,7,0.0,448.73,Consumer
ORD001023,2023-02-06,2023-02-10,North,MA,Boston,Technology,Keyboard,Keyboard Model-2020,391.0,3,0.05,119.26,One-time Buyer
ORD001024,2023-05-15,2023-05-18,West,CA,San Diego,Technology,Monitor,Monitor Model-2020,521.47,1,0.1,116.83,Consumer
ORD001025,2024-05-09,2024-05-12,South,NC,Charlotte,Technology,Printer,Printer Model-2024,203.23,2,0.0,65.24,One-time Buyer
